text_id,en,ru
ROOT_START_STUDENT,"Hello there, {first_name} 👋<br>Me, ArThur, will help you to keep track of upcoming AT meetings",
ROOT_START_TUTOR_APPENDIX,🧑‍🏫 <i>Honorable tutor you are</i>,
ROOT_START_ADMIN_APPENDIX,👑 <i>And admin panel is also available for you</i>,
ROOT_BTN_UPCOMING_MEETINGS,📚 Upcoming Meetings,
ROOT_BTN_TUTORS,🧑‍🏫 Tutors,
ROOT_BTN_SETTINGS,⚙️ Settings,
STUDENT_MEETINGS_LIST_TITLE,Upcoming Meetings,
COMMON_BTN_BACK,Back,
STUDENT_MEETING_BTN_TUTOR_PROFILE,Tutor Profile,
STUDENT_MEETING_BTN_TO_YOUR_PROFILE,To Your Profile,
TUTOR_LIST_TITLE_FOR_STUDENTS,🧑‍🏫 Here are all of your Tutors!,
TUTOR_PROFILE_HEADER_STUDENT_VIEW,🧑‍🏫 Tutor's Profile,
TUTOR_PROFILE_PROFILE_NAME_LINE,<b>{profile_name}</b>,
TUTOR_PROFILE_USERNAME_LINE,@{username},
TUTOR_PROFILE_DISCIPLINES_HEADER,📚 Disciplines:,
TUTOR_PROFILE_DISCIPLINE_ITEM,- <b>[{discipline[language]} {discipline[year]}y] {discipline[name]}</b>,
TUTOR_PROFILE_ABOUT_BLOCK,<blockquote>{about}</blockquote>,
SETTINGS_TITLE,⚙️ Settings️,
SETTINGS_RELEVANT_DISCIPLINES_TITLE,📚 Relevant disciplines:,
SETTINGS_DISCIPLINE_ITEM,- [{item[language]} {item[year]}y] {item[name]},
SETTINGS_NOTIFICATIONS_LINK,🔗 <i><a href='{notification_bot_link}'>link to Notifications Bot</a></i>,
SETTINGS_NOTIF_UNACTIVATED,Activate bot ☝️ to receive notifications,
SETTINGS_NOTIF_BLOCKED,Unblock the bot ☝️ to receive notifications,
SETTINGS_NOTIF_TOGGLE,Notifications: {receive_notifications},
SETTINGS_BTN_CHANGE_DISCIPLINES,📚 Change disciplines,
SETTINGS_DISCIPLINES_TITLE,📚 Selected Disciplines,
SETTINGS_DISCIPLINES_BTN_CHOOSE_OTHER,Choose other,
SETTINGS_DISCIPLINES_BTN_SUBMIT,Submit,
DISCIPLINE_PICKER_LANGUAGE_TITLE,Choose Program,
DISCIPLINE_PICKER_YEAR_TITLE,Choose Acadmic Year,
DISCIPLINE_PICKER_DISCIPLINE_TITLE,Choose Discipline,
DISCIPLINE_PICKER_DISCIPLINES_TITLE,Choose Disciplines,
DISCIPLINE_PICKER_BTN_CANCEL,Cancel,
DISCIPLINE_PICKER_BTN_CLOSE,Close,
AUTH_BIND_INSTRUCTION,"To proceed, please connect your telegram with your InNoHassle account by pressing the button ""Connect Telegram 🔗""<br><br>After that press ""Check Connected ✅""",
AUTH_BTN_CONNECT_TELEGRAM,Connect Telegram 🔗,
AUTH_BTN_CHECK_CONNECTED,Check Connected ✅,
MEETING_INFO_TEMPLATE_STUDENT,ℹ️ Meeting Information<br><br><b>{title}</b><br>[{d_lang} {d_year}y] {d_name}<br><br>📆 Date: <b>{date}</b><br>⏱️ Duration: <b>{duration}</b><br>📍 Room: <b>{room}</b><br>🧑‍🏫 Tutor: @{tutor_username}<br><br>Description:<br><blockquote>{description}</blockquote>,
ROOT_TUTOR_APPENDIX,🧑‍🏫 <i>Honorable tutor you are</i>,
ROOT_BTN_YOUR_MEETINGS,🧑‍🏫 Your Meetings,
ROOT_BTN_YOUR_PROFILE,🧑‍🏫 Your Profile,
MEETINGS_TYPE_TITLE,Meetings,
MEETINGS_BTN_CREATE_NEW,Create New,
MEETINGS_BTN_SEE_CREATED,See Created,
MEETINGS_BTN_SEE_APPROVING,See Approving,
MEETINGS_BTN_SEE_ANNOUNCED,See Announced,
MEETINGS_BTN_SEE_CLOSED,See Closed,
MEETINGS_LIST_TITLE,{meetings_type} Meetings,
MEETING_CREATE_TITLE,New Meeting,
MEETING_CREATE_FIELD_TITLE,Title: {title},
MEETING_CREATE_FIELD_DISCIPLINE,Discipline: {discipline_name},
MEETING_CREATE_BTN_TITLE,Title,
MEETING_CREATE_BTN_DISCIPLINE,Discipline,
MEETING_CREATE_BTN_SUBMIT,Create ✅,
MEETING_CREATE_ENTER_TITLE_TITLE,Create New Meeting,
MEETING_CREATE_ENTER_TITLE_PROMPT,Enter Title:,
MEETING_INFO_BTN_CHANGE_INFO,Change Info,
MEETING_INFO_BTN_SEND_FOR_APPROVAL,Send for Approval,
MEETING_INFO_BTN_ANNOUNCE,Announce,
MEETING_INFO_BTN_FINISH,Finish,
MEETING_INFO_BTN_CLOSE,Close,
MEETING_INFO_BTN_ATTENDANCE,Attendance,
MEETING_INFO_BTN_CANCEL_MEETING,Cancel Meeting,
MEETING_CONFIRM_SEND_FOR_APPROVAL_TITLE,"Are you surely ready to send ""{title}"" for approval?",
MEETING_CONFIRM_SEND_FOR_APPROVAL_APPENDIX,"After approval, the meeting will be <u>announced automatically</u>.",
MEETING_CONFIRM_SEND_FOR_APPROVAL_BTN,Send for Approval 📩,
MEETING_CONFIRM_ANNOUNCE_TITLE,"Are you surely ready to announce ""{title}""?",
MEETING_CONFIRM_ANNOUNCE_BTN,Announce 📣,
MEETING_CONFIRM_FINISH_TITLE,"Are you surely ready to finish ""{title}""?",
